feature,importance
TAF7L,0.17044072
IL17REL,0.14599602
FGF3,0.12769641
DSC1,0.1141354
LCE2B,0.08256904
MAGEB2,0.06867176
LCE6A,0.057166476
ACTA1,0.042942382
LCE1A,0.030051958
NKX2-4,0.027668191
KEL,0.024987273
MAGEA12,0.024236068
MAJIN,0.023968894
MMP13,0.019249536
GBX1,0.016855644
ZPBP2,0.010541205
GSTA1,0.009158203
MYH6,0.0036648551
SPIB,0.0
ZFR2,0.0
ZNF541,0.0
C8G,0.0
NOS2,0.0
PNLIPRP3,0.0
CGB8,0.0
CASP14,0.0
DRGX,0.0
LCE2A,0.0
LCN1,0.0
SOX14,0.0
TCHHL1,0.0
IGFL3,0.0
PRR9,0.0
ASCL4,0.0
SHCBP1L,0.0
MYBPH,0.0
SPINK6,0.0
FRMD1,0.0
SPANXB1,0.0
PPP1R3A,0.0
MYH2,0.0
UGT2B28,0.0
FAM133A,0.0
BRDT,0.0
SAGE1,0.0
CSH2,0.0
FEZF2,0.0
MAGEC1,0.0
SPANXD,0.0
C1QL2,0.0
COX7B2,0.0
HBE1,0.0
OR51B4,0.0
GKN1,0.0
PGC,0.0
